Title,Location extracted,Can_be_negitive,Species,Class,First_author,Year,Mean_control,SD_control,n_control,Mean_exp,SD_exp,n_exp,Error_type,Behaviour_type,Metric,Real_predator,Sex,Predation_pressure,Environment,Low_or_no_pred,Comparison_type,Adult,time_exposed_days,Sign_inverted,Notes
Altitudinal differences in foraging decisions under predation risk in great tits,"Fig.3 d, inverted",No,Parus_major,Aves,Crouchet,2024,0.6,0.04,91,0.551,0.07,91,SE,Foraging,Proportion of vistits,1,Male,Wild,Lab,Low,WW,Both,Max,No,Taken the inverse as the control bc proportion of pred playback vs control
Altitudinal differences in foraging decisions under predation risk in great tits,"Fig.3 d, inverted",No,Parus_major,Aves,Crouchet,2024,0.651,0.055,91,0.531,0.065,91,SE,Foraging,Proportion of vistits,1,Female,Wild,Lab,Low,WW,Both,Max,No,Taken the inverse as the control bc proportion of pred playback vs control
Anti-predator behavior in two brown frogs: differences in the mean behaviors and in the structure of animal personality variation,Table s1,Yes,Rana_dalmatina,Amphibia,Castellano,2023,0.19,0.07,96,0.14,0.07,96,SD,Activity,Index of activity,1,Mixed,Lab,Lab,No,CC,Juvenille,26,No,
Anti-predator behavior in two brown frogs: differences in the mean behaviors and in the structure of animal personality variation,Table s1,Yes,Rana_dalmatina,Amphibia,Castellano,2023,0.19,0.07,96,0.09,0.04,96,SD,Activity,Index of activity,1,Mixed,Lab,Lab,No,CC,Juvenille,26,No,
Anti-predator behavior in two brown frogs: differences in the mean behaviors and in the structure of animal personality variation,Table s1,Yes,Rana_latastei,Amphibia,Castellano,2023,0.13,0.04,96,0.12,0.04,96,SD,Activity,Index of activity,1,Mixed,Lab,Lab,No,CC,Juvenille,26,No,
Anti-predator behavior in two brown frogs: differences in the mean behaviors and in the structure of animal personality variation,Table s1,Yes,Rana_latastei,Amphibia,Castellano,2023,0.13,0.04,96,0.1,0.03,96,SD,Activity,Index of activity,1,Mixed,Lab,Lab,No,CC,Juvenille,26,No,
Anti-predator behavior in two brown frogs: differences in the mean behaviors and in the structure of animal personality variation,Table s1,Yes,Rana_dalmatina,Amphibia,Castellano,2023,0.67,0.26,96,0.39,0.28,96,SD,Activity,Movement speed,1,Mixed,Lab,Lab,No,CC,Juvenille,26,No,
Anti-predator behavior in two brown frogs: differences in the mean behaviors and in the structure of animal personality variation,Table s1,Yes,Rana_dalmatina,Amphibia,Castellano,2023,0.67,0.26,96,0.32,0.16,96,SD,Activity,Movement speed,1,Mixed,Lab,Lab,No,CC,Juvenille,26,No,
Anti-predator behavior in two brown frogs: differences in the mean behaviors and in the structure of animal personality variation,Table s1,Yes,Rana_latastei,Amphibia,Castellano,2023,0.29,0.14,96,0.26,0.13,96,SD,Activity,Movement speed,1,Mixed,Lab,Lab,No,CC,Juvenille,26,No,Not a mistake in mean - same value
Anti-predator behavior in two brown frogs: differences in the mean behaviors and in the structure of animal personality variation,Table s1,Yes,Rana_latastei,Amphibia,Castellano,2023,0.29,0.14,96,0.26,0.13,96,SD,Activity,Movement speed,1,Mixed,Lab,Lab,No,CC,Juvenille,26,No,Not a mistake in mean - same value
"Antipredator syndrome: modelling and testing behavioural, morphological and life history plasticity in tadpoles",Figure 7,Yes,Rana_dalmatina,Amphibia,Castellano,2025,0.65,0.62,32,-0.026,0.59,32,SD,Activity,PCA values,1,Mixed,Lab,Lab,No,CC,Juvenille,30,No,No swiftness bc not risk taking
Behavioral adjustments to prior predation experience and food deprivation of a common cyprinid fish species vary between singletons and a group,Fig.2,No,Spinibarbus_sinensis,Actinopterygii,Wang,2019,20.5,3.8,20,10.26,12.17,20,SE,Activity,Proportion,1,Mixed,Lab,Lab,No,CC,Juvenille,14,No,"No speed as not risk trait, only singles are groups are testing social conditions within the assay "
Behavioral and morphological responses to perceived predation risk: a field experiment in passerines,Fig.1,Yes,Parus_major,Aves,Abbey-Lee,2016,3.94,1.2,76,0.45,1.55,67,SE,Exploration ,Change in score,0,Mixed,Wild,Lab,No,WW,Adult,21,No,
Behavioral and life‐historical responses of larval American toads to an odonate predator,Fig.3,No,Bufo_americanus,Amphibia,Skelly,1990,25.9,2,28,16.3,4,28,SE,Activity,Mean proportion active,1,Mixed,Lab,Lab,No,WW,Juvenille,15,No,1
Behavioral and life‐historical responses of larval American toads to an odonate predator,Fig.3,No,Bufo_americanus,Amphibia,Skelly,1990,36.6,2.4,30,27.59,4.2,26,SE,Activity,Mean proportion active,1,Mixed,Lab,Lab,No,WW,Juvenille,15,No,2
Behavioral and life‐historical responses of larval American toads to an odonate predator,Fig.3,No,Bufo_americanus,Amphibia,Skelly,1990,34.96,2.9,29,20.6,3.4,27,SE,Activity,Mean proportion active,1,Mixed,Lab,Lab,No,WW,Juvenille,15,No,3
Behavioral and life‐historical responses of larval American toads to an odonate predator,Fig.3,No,Bufo_americanus,Amphibia,Skelly,1990,35.9,4.4,12,27.9,1.5,14,SE,Activity,Mean proportion active,1,Mixed,Lab,Lab,No,WW,Juvenille,15,No,4
Behavioural responses of feral and domestic guppies (Poecilia reticulata) to predators and their cues,Fig2,No,Poecilia_reticulata,Actinopterygii,Swaney,2015,-5.7,2.3,19,-26,12,19,SE,Emergence,Seconds,1,Male,Wild,Wild,No,WC,Adult,Max,Yes,Time hidden
Behavioural responses of feral and domestic guppies (Poecilia reticulata) to predators and their cues,Fig2,No,Poecilia_reticulata,Actinopterygii,Swaney,2015,-219.47,32,19,-321,74,19,SE,Sociality ,Seconds,1,Male,Wild,Wild,No,WC,Adult,Max,Yes,"Shoaling, no predator only"
Boldness in extreme environments: temperament divergence in a desert-dwelling fish,Fig.2,No,Chlamydogobius_eremius,Actinopterygii,Moran,2016,-3.1,1.4,41,-3.24,1.44,41,SD,Emergence,Seconds,1,Female,Wild,Lab,No,WW,Adult,Max,Yes,
Boldness in extreme environments: temperament divergence in a desert-dwelling fish,Fig.2,No,Chlamydogobius_eremius,Actinopterygii,Moran,2016,0.56,0.22,41,0.68,0.25,41,SD,Exploration ,Seconds,1,Female,Wild,Lab,No,WW,Adult,Max,No,
Boldness in extreme environments: temperament divergence in a desert-dwelling fish,Fig.2,No,Chlamydogobius_eremius,Actinopterygii,Moran,2016,-56.22,90,41,-215,120,41,SD,Neophobia,Seconds,1,Female,Wild,Lab,No,WW,Adult,Max,Yes,
