Term,estimate,se,tval,df,pval,ci.lb,ci.ub
Na•ve model,,,,,,,
Overall,-0.4401,0.0576,-7.6444,216.0000,0.0000,-0.5536,-0.3266
Behaviour type,,,,,,,
Vigilance,-0.6096,0.2208,-2.7605,210.0000,0.0063,-1.0449,-0.1743
Sociality ,-0.3141,0.2835,-1.1078,210.0000,0.2692,-0.8730,0.2449
Neophobia,-0.7167,0.2052,-3.4930,210.0000,0.0006,-1.1211,-0.3122
Foraging,-0.5245,0.1502,-3.4907,210.0000,0.0006,-0.8206,-0.2283
Exploration ,-0.3441,0.1375,-2.5022,210.0000,0.0131,-0.6152,-0.0730
Emergence,-0.2510,0.1217,-2.0617,210.0000,0.0405,-0.4910,-0.0110
Activity,-0.4853,0.0824,-5.8914,210.0000,0.0000,-0.6477,-0.3229
Sex,,,,,,,
Female,-0.2923,0.1225,-2.3860,212.0000,0.0179,-0.5337,-0.0508
Male,-0.4258,0.1314,-3.2395,212.0000,0.0014,-0.6849,-0.1667
Mixed,-0.4989,0.0699,-7.1431,212.0000,0.0000,-0.6366,-0.3613
Class,,,,,,,
Reptiles,-0.0708,0.2377,-0.2979,210.0000,0.7661,-0.5394,0.3978
Ray-finned fishes,-0.3649,0.0735,-4.9660,210.0000,0.0000,-0.5098,-0.2201
Mammals,-0.5049,0.1415,-3.5677,210.0000,0.0004,-0.7838,-0.2259
Crustaceans,-0.3054,0.2447,-1.2480,210.0000,0.2134,-0.7877,0.1770
Cartilaginous fishes,-0.1663,0.2696,-0.6171,210.0000,0.5378,-0.6977,0.3650
Birds,-0.2020,0.3387,-0.5963,210.0000,0.5516,-0.8697,0.4658
Amphibians,-0.7589,0.1091,-6.9589,210.0000,0.0000,-0.9739,-0.5440
Predation location,,,,,,,
Lab,-0.5136,0.0835,-6.1523,215.0000,0.0000,-0.6781,-0.3490
Wild,-0.3769,0.0778,-4.8473,215.0000,0.0000,-0.5302,-0.2237
Low or no predation as control,,,,,,,
Low,-0.4518,0.0921,-4.9053,215.0000,0.0000,-0.6333,-0.2702
No,-0.4323,0.0745,-5.8018,215.0000,0.0000,-0.5792,-0.2854
Adult or Juvenilles,,,,,,,
Adult,-0.3601,0.0770,-4.6754,214.0000,0.0000,-0.5119,-0.2083
Juvenille,-0.5684,0.0914,-6.2211,214.0000,0.0000,-0.7485,-0.3883
Mixed,-0.3945,0.1697,-2.3249,214.0000,0.0210,-0.7290,-0.0600
Real predator used,,,,,,,
No,-0.3649,0.1330,-2.7438,215.0000,0.0066,-0.6271,-0.1028
Ye,-0.4575,0.0639,-7.1644,215.0000,0.0000,-0.5834,-0.3316
Comparison type,,,,,,,
Captive vs captive,-0.5074,0.0852,-5.9585,214.0000,0.0000,-0.6753,-0.3396
Wild vs captive,0.0335,0.3251,0.1029,214.0000,0.9181,-0.6073,0.6743
Wild vs wild,-0.4113,0.0783,-5.2560,214.0000,0.0000,-0.5656,-0.2571
Sensitivity analysis (minus lnCVR excluded effect sizes),,,,,,,
Overall,-0.3990,0.0619,-6.4460,181.0000,0.0000,-0.5211,-0.2768
