"","estimate","se","tval","df","pval","ci.lb","ci.ub","term"
"intrcpt",0.18220437108282,0.0681059965654994,2.6753058507497,181,0.00815063364842554,0.0478205443463373,0.316588197819302,"intrcpt"
"Behaviour_typeVigilance",-0.350353502849575,0.235869919159166,-1.48536746058388,175,0.139245678915379,-0.815869314702278,0.115162309003128,"Behaviour_typeVigilance"
"Behaviour_typeSociality ",0.798457055567601,0.378249087137235,2.11092923346014,175,0.0361989517923886,0.0519399434706856,1.54497416766452,"Behaviour_typeSociality "
"Behaviour_typeNeophobia",0.0202345100374824,0.250193205473543,0.0808755377636432,175,0.935633352221285,-0.473549918181415,0.51401893825638,"Behaviour_typeNeophobia"
"Behaviour_typeForaging",0.347142676226465,0.157309525076649,2.20674924838353,175,0.0286329775066166,0.0366746371510648,0.657610715301865,"Behaviour_typeForaging"
"Behaviour_typeExploration ",0.0114609781002897,0.204666373447548,0.0559983445606267,175,0.955407008579021,-0.392471127078801,0.41539308327938,"Behaviour_typeExploration "
"Behaviour_typeEmergence",0.231532641929478,0.137771464401919,1.68055586063912,175,0.0946332738595706,-0.0403748371158536,0.50344012097481,"Behaviour_typeEmergence"
"Behaviour_typeActivity",0.222207975439197,0.0879689668121339,2.52598141698928,175,0.0124250238605251,0.0485913262735183,0.395824624604876,"Behaviour_typeActivity"
"SexFemale",0.0509691630604361,0.145667061527365,0.349901772754996,179,0.726823766083363,-0.236476440983233,0.338414767104106,"SexFemale"
"SexMale",0.130529172914677,0.158474338259646,0.823661258650072,179,0.411228120435268,-0.182189099897513,0.443247445726868,"SexMale"
"SexMixed",0.223000444041401,0.0760182528716753,2.93351182929503,179,0.00379021472879804,0.0729932125785887,0.373007675504212,"SexMixed"
"ClassReptiles",-0.207372792446581,0.299083435968455,-0.693361007355998,175,0.489002249068623,-0.797647588838058,0.382902003944897,"ClassReptiles"
"ClassRay-finned fishes",0.168186343222173,0.110149395621797,1.52689301900165,175,0.12859296401456,-0.0492058766537495,0.385578563098095,"ClassRay-finned fishes"
"ClassMammals",0.16476690375931,0.163355592923406,1.00863950116826,175,0.31454013384924,-0.157633730164272,0.487167537682891,"ClassMammals"
"ClassCrustaceans",-0.00369468727346961,0.279443698465578,-0.0132215802100999,175,0.989466073521446,-0.555208252979758,0.547818878432818,"ClassCrustaceans"
"ClassCartilaginous fishes",-0.0941215654773342,0.344348642460015,-0.27333218102715,175,0.784920187631795,-0.773732337493494,0.585489206538825,"ClassCartilaginous fishes"
"ClassBirds",0.50816073483996,0.470226277170395,1.08067277289954,175,0.28132972944398,-0.419883705721946,1.43620517540187,"ClassBirds"
"ClassAmphibians",0.355362920371384,0.129905356274876,2.73555248653063,175,0.00686927415693369,0.0989800903526648,0.611745750390103,"ClassAmphibians"
"Real_predator0",-0.0384863528156048,0.149405872860337,-0.257595983871273,180,0.797012982450577,-0.33329862629153,0.25632592066032,"Real_predator0"
"Real_predator1",0.22620877575959,0.0713954471049844,3.16839217250028,180,0.00180125133950185,0.085329078905061,0.36708847261412,"Real_predator1"
"Low_or_no_predLow",0.221673711778267,0.107436361433266,2.06330248736094,180,0.0405193510282963,0.00967697187949121,0.433670451677042,"Low_or_no_predLow"
"Low_or_no_predNo",0.156201968773281,0.0838215268652358,1.86350660283742,180,0.0640198721820377,-0.00919725167412128,0.321601189220684,"Low_or_no_predNo"
"Comparison_typeCC",0.233229858191424,0.091961460543327,2.53616957379161,179,0.0120621489153367,0.0517618083972784,0.414697907985569,"Comparison_typeCC"
"Comparison_typeWC",0.041051101518382,0.32998949105345,0.12440123892228,179,0.901137181723773,-0.610118954287973,0.692221157324737,"Comparison_typeWC"
"Comparison_typeWW",0.144095868180604,0.0939724042919405,1.53338492578041,179,0.126946576582112,-0.0413403878398301,0.329532124201038,"Comparison_typeWW"
"Predation_pressureLab",0.242824354429721,0.0902591162648936,2.69030281348066,180,0.00781064735502585,0.0647222841526351,0.420926424706807,"Predation_pressureLab"
"Predation_pressureWild",0.124500990262047,0.0935801761026083,1.33042055964433,180,0.185062810237388,-0.0601542976520829,0.309156278176176,"Predation_pressureWild"
