Term,estimate,se,tval,df,pval,ci.lb,ci.ub
Na•ve model,-0.4207,0.0664,-6.3313,215.0000,<0.0001,-0.5517,-0.2897
Behaviour_type,,,,,,,
Activity,-0.4587,0.0870,-5.2721,209.0000,<0.0001,-0.6303,-0.2872
Emergence,-0.2310,0.1201,-1.9242,209.0000,0.0557,-0.4677,0.0057
Exploration ,-0.1272,0.1399,-0.9092,209.0000,0.3643,-0.4029,0.1486
Foraging,-0.7176,0.1392,-5.1543,209.0000,<0.0001,-0.9921,-0.4432
Neophobia,-0.7294,0.1896,-3.8475,209.0000,0.0002,-1.1031,-0.3557
Shoaling,-0.2018,0.2490,-0.8104,209.0000,0.4187,-0.6928,0.2891
Vigilance,-0.6398,0.2033,-3.1474,209.0000,0.0019,-1.0406,-0.2391
Sex,,,,,,,
Female,-0.3260,0.1252,-2.6046,212.0000,0.0098,-0.5727,-0.0793
Male,-0.3828,0.1376,-2.7824,212.0000,0.0059,-0.6540,-0.1116
Mixed,-0.4661,0.0767,-6.0756,212.0000,0.0000,-0.6173,-0.3149
Class,,,,,,,
Reptiles,-0.0927,0.2400,-0.3863,209.0000,0.6997,-0.5658,0.3804
Ray-finned fishes,-0.2960,0.0874,-3.3850,209.0000,0.0009,-0.4684,-0.1236
Mammals,-0.6634,0.1528,-4.3429,209.0000,<0.0001,-0.9645,-0.3622
Crustaceans,-0.3345,0.2728,-1.2265,209.0000,0.2214,-0.8723,0.2032
Cartilaginous fishes,-0.1863,0.3055,-0.6098,209.0000,0.5427,-0.7886,0.4160
Birds,-0.2041,0.3479,-0.5868,209.0000,0.5580,-0.8899,0.4816
Amphibians,-0.7001,0.1249,-5.6073,209.0000,<0.0001,-0.9463,-0.4540
Control type,,,,,,,
Low,-0.4931,0.0990,-4.9834,214.0000,<0.0001,-0.6882,-0.2981
No,-0.3696,0.0835,-4.4288,214.0000,<0.0001,-0.5341,-0.2051
Adult vs Juvenille,,,,,,,
Adult,-0.3430,0.0896,-3.8282,213.0000,0.0002,-0.5197,-0.1664
Juvenille,-0.5340,0.1033,-5.1703,213.0000,<0.0001,-0.7376,-0.3304
Both,-0.3777,0.1841,-2.0514,213.0000,0.0415,-0.7406,-0.0148
Real vs simulated predator,,,,,,,
Simulated,-0.1745,0.1349,-1.2944,214.0000,0.1969,-0.4404,0.0913
Real vs simulated predator,-0.4793,0.0708,-6.7742,214.0000,<0.0001,-0.6188,-0.3399
Comparison type,,,,,,,
Captive vs captive,-0.4194,0.0954,-4.3954,213.0000,<0.0001,-0.6075,-0.2313
Wild vs captive ,-0.0956,0.3299,-0.2897,213.0000,0.7723,-0.7459,0.5547
Wild vs wild,-0.4364,0.0883,-4.9404,213.0000,<0.0001,-0.6106,-0.2623
Sensitivity analysis for lnCVR,,,,,,,
Na•ve model,-0.4067,0.0605,-6.7179,181.0000,<0.0001,-0.5262,-0.2873
