"","Species_tree$tip.label"
"1","Melomys_burtoni"
"2","Xerus_inauris"
"3","Connochaetes_taurinus"
"4","Equus_burchellii_quagga"
"5","Bettongia_lesueur"
"6","Macropus_fuliginosus"
"7","Notamacropus_eugenii"
"8","Perameles_bougainville"
"9","Macrotis_lagotis"
"10","Parus_major"
"11","Anolis_sagrei"
"12","Zootoca_vivipara"
"13","Lampropholis_similis"
"14","Rana_catesbeiana"
"15","Rana_clamitans"
"16","Rana_pipiens"
"17","Rana_sylvatica"
"18","Rana_latastei"
"19","Rana_dalmatina"
"20","Rana_arvalis"
"21","Dryophytes_versicolor"
"22","Litoria_spenceri"
"23","Anaxyrus_americanus"
"24","Pimephales_promelas"
"25","Phoxinus_phoxinus"
"26","Zacco_platypus"
"27","Spinibarbus_sinensis"
"28","Cyprinus_carpio"
"29","Neolamprologus_pulcher"
"30","Amatitlania_nigrofasciata"
"31","Poecilia_vivipara"
"32","Poecilia_reticulata"
"33","Gambusia_affinis"
"34","Gambusia_hubbsi"
"35","Brachyrhaphis_episcopi"
"36","Brachyrhaphis_rhabdophora"
"37","Kryptolebias_marmoratus"
"38","Gasterosteus_aculeatus"
"39","Pungitius_pungitius"
"40","Chlamydogobius_eremius"
"41","Negaprion_brevirostris"
"42","Asellus_aquaticus"
"43","Homarus_gammarus"
